Score_Rank,Number_students,Numb_students_per_Staff,International_Students,Percentage_Female,Percentage_Male,Teaching,Research,Citations,Industry_Income,International_Outlook,Score_Result,Overall_Ranking,Country,University,Rank
294,17848,23.3,14,49,51,22.8,21.9,62.0,36.8,42.7,36.1,35.3,United States,"Binghamton University, State University of New York",200 to 300
301,14206,27.2,7,46,54,15.4,17.0,71.2,38.1,43.1,35.3,35.3,Italy,University of Brescia,> 300
492,6611,15.1,4,60,40,16.8,10.8,12.7,34.7,33.1,15.4,10.7,Czech Republic,University of Hradec Kr�lov�,> 300
378,26121,19.0,3,51,49,21.8,15.8,43.6,40.3,25.9,27.3,22.2,United States,Mississippi State University,> 300
408,16144,18.0,3,0,0,22.9,13.1,35.5,57.2,17.4,24.2,22.2,China,China Pharmaceutical University,> 300
498,15354,8.2,16,78,22,24.5,10.0,2.6,37.8,36.7,14.8,10.7,Russian Federation,Sechenov University,> 300
371,9209,21.8,11,60,40,21.5,17.6,39.6,38.1,45.7,28.0,22.2,Spain,University of Deusto,> 300
142,2265,21.1,65,0,0,30.1,26.9,90.0,47.5,93.7,52.3,50.1,Ireland,Royal College of Surgeons in Ireland (RCSI),100 to 200
368,18066,17.9,10,54,46,22.5,19.4,34.6,62.6,50.3,28.3,28.3,Portugal,University of Minho,> 300
349,8595,14.7,8,59,41,23.6,15.2,48.8,37.8,41.6,30.3,28.3,Spain,University of Lleida,> 300
268,6332,27.5,0,46,54,15.1,15.5,91.8,35.7,15.6,38.8,38.8,Iran,Yasouj University,200 to 300
507,14111,5.6,1,39,61,20.7,7.6,10.5,34.5,19.0,13.9,10.7,Russian Federation,Ufa State Aviation Technical University,> 300
336,21902,44.3,3,47,53,16.5,14.7,60.2,37.3,43.4,31.6,28.3,Greece,University of Ioannina,> 300
272,5381,15.6,6,51,49,26.9,34.4,49.2,60.2,49.7,38.4,35.3,Turkey,Ko� University,200 to 300
472,10580,10.8,5,37,63,20.8,12.5,14.9,42.3,25.2,17.4,10.7,Japan,Yamaguchi University,> 300
308,6122,10.5,11,51,49,28.1,19.7,46.8,54.1,64.4,34.6,28.3,Austria,Johannes Kepler University of Linz,> 300
447,3659,2.1,1,59,41,30.3,8.7,20.0,36.4,16.6,19.9,10.7,Japan,Showa University,> 300
67,12735,4.0,20,58,42,56.0,40.4,98.8,45.4,57.9,64.0,64.0,United States,Emory University,0 to 100
385,17752,15.2,1,35,65,24.7,14.2,39.7,43.0,25.3,26.6,22.2,China,"China University of Geosciences, Beijing",> 300
360,14477,18.0,36,58,42,17.1,15.2,39.5,35.4,89.4,29.1,28.3,United Kingdom,University of Greenwich,> 300
440,11023,23.2,15,54,46,17.8,13.7,23.6,34.4,44.7,20.7,10.7,Hungary,Corvinus University of Budapest,> 300
221,24290,25.8,2,56,44,20.2,19.5,94.0,37.3,33.9,43.6,42.4,Italy,University of Salerno,200 to 300
256,12119,17.0,10,47,53,23.4,20.8,75.4,40.0,42.6,40.1,38.8,South Korea,Sejong University,200 to 300
451,7746,10.1,4,36,64,22.4,13.5,20.2,41.5,22.4,19.5,10.7,Japan,Osaka Prefecture University,> 300
120,19575,13.9,35,49,51,38.0,27.9,97.5,38.0,75.0,55.6,55.6,United States,Northeastern University,100 to 200
89,26842,14.4,9,55,45,37.2,54.0,85.4,66.7,74.8,60.3,60.3,Denmark,Aarhus University,0 to 100
365,27455,31.6,6,44,56,28.7,23.2,30.7,62.1,30.4,28.6,28.3,Turkey,Middle East Technical University,> 300
480,19143,11.4,3,49,51,16.3,7.9,20.9,34.8,29.0,16.6,10.7,Japan,Aoyama Gakuin University,> 300
513,18104,14.6,3,28,72,14.6,7.5,12.3,34.8,27.7,13.3,10.7,Japan,Kanagawa University,> 300
420,13502,15.2,13,56,44,16.2,10.3,32.0,35.1,58.8,22.8,22.2,United Kingdom,University of Derby,> 300
288,5216,35.2,19,27,73,36.2,23.9,42.5,79.1,52.7,36.7,35.3,Germany,Hamburg University of Technology,200 to 300
421,128995,23.6,1,53,47,20.7,7.3,34.7,34.8,40.9,22.7,22.2,Egypt,Tanta University,> 300
424,179636,16.9,3,54,46,21.0,10.1,31.5,35.6,36.0,22.4,22.2,Egypt,Ain Shams University,> 300
355,223275,40.6,2,48,52,21.8,13.7,51.5,35.4,35.3,29.6,28.3,Egypt,Cairo University,> 300
517,123932,55.6,0,52,48,15.4,7.8,10.0,34.4,28.3,12.9,10.7,Mexico,University of Guadalajara,> 300
374,28211,10.3,6,54,46,22.0,13.4,43.8,38.6,39.4,27.7,22.2,Spain,University of Zaragoza,> 300
507,42198,16.8,0,58,42,15.0,7.9,9.1,34.4,45.6,13.9,10.7,Venezuela,"University of the Andes, Venezuela",> 300
274,57697,28.4,10,62,38,21.8,15.0,72.9,55.4,52.0,38.2,35.3,Greece,National and Kapodistrian University of Athens,200 to 300
511,72792,21.5,0,52,48,13.3,7.9,14.3,35.3,26.2,13.5,10.7,Mexico,Autonomous University of Sinaloa,> 300
318,34002,22.7,1,65,35,17.7,7.7,73.0,34.4,41.8,33.5,28.3,Algeria,Ferhat Abbas S�tif University 1,> 300
351,33694,43.1,4,55,45,19.4,26.0,38.6,36.2,52.4,30.0,28.3,Canada,Ryerson University,> 300
195,35814,13.0,9,53,47,39.3,23.5,79.3,34.4,37.7,46.3,44.5,United States,Temple University,100 to 200
433,52085,22.4,1,38,62,19.0,14.5,26.1,35.4,35.7,21.4,10.7,Colombia,National University of Colombia,> 300
210,39405,19.5,15,53,47,36.3,27.1,67.1,37.3,61.6,44.7,44.5,France,Montpellier University,200 to 300
121,46642,16.8,10,55,45,54.0,53.8,61.9,57.9,40.0,55.4,55.4,United States,University of Florida,100 to 200
325,28146,15.1,16,58,42,20.1,14.2,55.4,34.8,65.3,32.7,28.3,United Kingdom,Manchester Metropolitan University,> 300
69,36794,20.2,22,0,0,48.2,49.7,86.4,70.0,84.1,63.3,63.4,Canada,University of Montreal,0 to 100
214,52502,14.6,7,0,0,44.0,34.0,52.5,84.7,40.4,44.3,42.4,China,Wuhan University,200 to 300
244,29603,9.9,12,32,68,39.5,36.8,44.0,99.3,36.7,41.3,38.8,China,Harbin Institute of Technology,200 to 300
484,33506,12.1,1,65,35,18.6,11.7,11.7,38.9,34.4,16.2,10.7,Thailand,Thammasat University,> 300
372,34056,20.3,0,46,54,15.5,9.0,58.7,34.5,27.4,27.9,22.2,Nigeria,University of Lagos,> 300
174,29250,17.3,13,57,43,40.1,31.8,67.6,59.6,69.2,48.5,46.9,Canada,Laval University,100 to 200
229,33848,22.4,30,47,53,25.7,26.1,64.5,42.5,91.8,42.8,42.4,Australia,RMIT University,200 to 300
388,44074,15.2,2,51,49,25.8,14.4,36.8,34.5,30.9,26.3,22.2,Brazil,University of Bras�lia,> 300
496,35353,30.4,9,61,39,19.4,8.3,7.1,35.6,48.7,15.0,10.7,Jordan,Yarmouk University,> 300
510,42862,35.9,1,45,55,15.2,9.0,13.9,35.2,17.2,13.6,10.7,Turkey,Akdeniz University,> 300
73,33108,16.6,11,48,52,46.9,59.1,89.6,39.2,41.2,62.8,62.7,United States,"University of Maryland, College Park",0 to 100
130,28521,26.3,8,56,44,31.2,43.2,78.8,100.0,73.7,54.0,54.0,South Africa,University of the Witwatersrand,100 to 200
497,48591,19.4,4,41,59,15.5,8.5,17.7,34.7,19.8,14.9,10.7,Turkey,Sel�uk University,> 300
491,69737,19.1,4,50,50,19.2,10.0,13.9,35.1,22.5,15.5,10.7,Turkey,Ankara University,> 300
409,29327,15.3,1,51,49,20.1,13.1,37.8,45.2,22.8,24.1,22.2,China,NorthWest A&F University,> 300
111,30236,14.2,29,61,39,41.1,45.9,78.0,39.9,87.5,57.1,57.1,United Kingdom,University of Leeds,100 to 200
127,43835,43.4,8,0,0,41.0,42.5,81.3,47.5,48.7,54.3,54.3,Germany,University of M�nster,100 to 200
457,46096,9.6,2,61,39,18.0,7.1,25.7,34.4,37.2,18.9,10.7,Argentina,National University of Cuyo,> 300
146,30365,14.2,8,47,53,39.0,34.7,86.4,48.3,33.0,51.7,50.1,United States,University of Utah,100 to 200
144,33885,18.9,14,0,0,30.5,34.2,87.3,89.0,54.7,51.9,50.1,United States,University of South Florida (Tampa),100 to 200
77,32706,16.5,26,52,48,43.3,46.5,94.9,58.9,71.9,62.3,62.3,United States,"University of California, Irvine",0 to 100
27,44466,8.9,33,57,43,76.8,77.5,96.5,38.7,65.4,81.1,81.1,United States,New York University,0 to 100
246,30048,15.4,1,55,45,15.3,8.9,98.6,34.8,44.6,41.1,38.8,Colombia,Pontifical Javeriana University,200 to 300
396,42079,25.2,11,58,42,18.6,10.8,40.9,36.7,45.5,25.4,22.2,Spain,University Rey Juan Carlos,> 300
214,34267,108.8,10,45,55,37.6,41.4,54.2,45.8,42.2,44.3,42.4,Germany,TU Dortmund University,200 to 300
20,42982,8.3,17,49,51,79.4,86.1,94.9,47.7,59.2,83.8,83.8,United States,University of Michigan-Ann Arbor,0 to 100
157,32838,18.3,14,43,57,37.5,42.3,70.9,47.5,54.0,50.4,50.1,United States,Virginia Polytechnic Institute and State University,100 to 200
471,59480,29.1,4,49,51,21.3,8.9,19.4,34.6,22.9,17.5,10.7,Turkey,Marmara University,> 300
94,30773,29.1,13,51,49,49.6,48.6,82.0,37.0,60.9,59.6,59.5,Germany,University of G�ttingen,0 to 100
485,30192,17.5,2,68,32,18.2,10.6,15.1,36.2,27.4,16.1,10.7,Romania,University of Bucharest,> 300
102,31919,21.0,26,55,45,47.9,48.8,70.3,60.5,87.5,58.2,58.2,Canada,University of Alberta,100 to 200
112,31877,12.6,16,59,41,40.9,36.1,92.9,44.8,64.3,56.9,56.9,Spain,Autonomous University of Barcelona,100 to 200
449,44327,21.8,1,53,47,13.3,8.0,29.8,34.6,47.3,19.7,10.7,Chile,Andr�s Bello University (UNAB),> 300
234,39877,8.4,1,58,42,24.1,17.2,86.9,39.4,37.9,42.3,38.8,Philippines,University of the Philippines,200 to 300
68,44789,16.5,16,51,49,56.6,57.4,80.0,37.8,63.3,63.9,63.9,United States,Michigan State University,0 to 100
406,36551,23.6,15,75,25,19.1,9.9,31.7,37.4,69.9,24.4,22.2,Kuwait,Kuwait University,> 300
53,36929,11.7,25,53,47,54.7,59.3,93.1,39.7,66.2,68.1,68.1,United States,University of Southern California,0 to 100
234,35164,16.3,7,57,43,34.9,35.8,55.8,37.2,46.0,42.3,38.8,United States,University of Georgia,200 to 300
529,46705,27.5,3,48,52,11.2,8.4,11.5,34.5,17.6,11.5,10.7,Turkey,S�leyman Demirel University,> 300
157,45169,21.3,4,55,45,42.5,30.9,80.2,38.4,45.1,50.4,50.1,Italy,University of Padua,100 to 200
398,49713,13.9,1,58,42,18.1,8.5,43.7,34.9,43.7,25.2,22.2,Puerto Rico,University of Puerto Rico,> 300
465,36946,33.5,4,39,61,15.4,12.9,23.0,45.6,21.1,18.1,10.7,Turkey,Y?ld?z Technical University,> 300
422,37634,14.2,2,69,31,18.1,13.4,32.7,35.4,32.7,22.6,22.2,Poland,"Adam Mickiewicz University, Pozna?",> 300
407,31340,21.2,1,53,47,14.8,12.0,46.1,38.5,19.3,24.3,22.2,China,Xiangtan University,> 300
123,34871,38.2,16,54,46,31.9,40.3,86.4,62.4,81.4,55.2,55.2,Australia,Queensland University of Technology,100 to 200
290,30799,30.5,8,55,45,23.7,24.4,62.0,35.1,33.9,36.5,35.3,United States,San Diego State University,200 to 300
282,47886,17.7,12,52,48,25.2,29.8,52.7,39.2,53.8,37.3,35.3,Portugal,University of Lisbon,200 to 300
358,28673,17.6,16,59,41,26.4,17.5,37.9,37.0,51.4,29.3,28.3,Spain,University of Salamanca,> 300
433,32059,17.5,4,52,48,20.3,15.6,26.1,44.7,23.0,21.4,10.7,China,Ocean University of China,> 300
450,81914,33.4,5,57,43,28.2,9.9,16.7,41.6,27.8,19.6,10.7,Morocco,Mohammed V University of Rabat,> 300
478,30139,19.1,0,32,68,14.0,7.3,20.4,34.4,46.3,16.8,10.7,Tanzania,University of Dar es Salaam,> 300
502,29437,13.5,3,36,64,16.8,10.0,12.9,34.4,21.4,14.4,10.7,Romania,Polytechnic University of Bucharest,> 300
515,41865,22.5,1,58,42,16.1,7.5,8.1,34.9,35.6,13.1,10.7,Algeria,University of Sciences and Technology Houari Boumediene,> 300
122,60818,24.8,8,47,53,49.3,54.8,62.8,45.3,54.3,55.3,55.3,United States,Texas A&M University,100 to 200
168,71318,21.3,6,57,43,40.4,40.0,69.8,43.6,40.5,49.2,46.9,Italy,Sapienza University of Rome,100 to 200
222,29311,29.4,17,53,47,28.0,30.8,69.9,36.5,53.4,43.5,42.4,Canada,University of Manitoba,200 to 300
455,41389,24.0,0,51,49,16.7,17.0,17.2,40.6,37.7,19.1,10.7,Colombia,University of Antioquia,> 300
78,45377,61.1,21,32,68,55.6,61.5,67.3,98.1,59.0,62.2,62.2,Germany,RWTH Aachen University,0 to 100
107,34569,15.5,10,44,56,50.7,48.0,71.8,84.9,57.8,57.6,57.6,China,Nanjing University,100 to 200
471,29848,13.0,2,26,74,18.9,9.7,20.8,36.8,23.4,17.5,10.7,Japan,Tokai University,> 300
527,36179,33.0,6,51,49,15.5,8.9,6.7,38.4,22.1,11.9,10.7,Turkey,Ondokuz Mayis University,> 300
234,36706,23.0,23,55,45,30.0,18.3,68.5,40.4,83.2,42.3,38.8,France,University of C�te d�Azur,200 to 300
67,43076,13.5,19,58,42,62.3,50.6,79.9,38.4,69.2,64.0,64.0,France,Sorbonne University,0 to 100
98,61390,15.5,17,64,36,52.0,36.1,88.3,35.6,66.6,58.8,58.8,France,University of Paris,0 to 100
442,30491,17.7,11,50,50,14.7,11.3,27.3,37.2,48.0,20.5,10.7,China,Huaqiao University,> 300
501,30346,11.2,3,39,61,24.3,8.0,6.9,35.4,24.6,14.5,10.7,Japan,Kansai University,> 300
47,35419,9.4,8,57,43,59.7,63.2,96.9,43.9,38.0,69.9,69.9,United States,University of North Carolina at Chapel Hill,0 to 100
354,33125,13.6,2,30,70,20.1,11.4,58.4,38.8,23.0,29.7,28.3,Japan,Kindai University,> 300
246,35120,22.5,4,56,44,26.9,22.4,77.4,35.3,28.9,41.1,38.8,United States,University of Alabama,200 to 300
30,34519,34.7,17,61,39,68.4,77.0,88.8,100.0,67.2,77.8,77.8,Germany,LMU Munich,0 to 100
380,38531,14.0,4,59,41,31.5,21.7,22.2,64.8,37.8,27.1,22.2,Thailand,Chulalongkorn University,> 300
157,34120,23.6,17,58,42,25.5,32.7,86.0,42.0,81.8,50.4,50.1,Australia,Griffith University,100 to 200
497,46056,21.0,3,50,50,17.2,10.2,13.5,37.9,22.1,14.9,10.7,Turkey,Ege University,> 300
399,39577,13.0,2,51,49,34.4,23.0,16.8,36.9,25.1,25.1,22.2,Brazil,S�o Paulo State University (UNESP),> 300
205,45451,21.4,6,59,41,35.9,28.9,72.2,37.7,42.6,45.2,44.5,Italy,University of Milan,200 to 300
334,38865,8.1,11,53,47,21.6,7.1,53.6,34.5,82.7,31.8,28.3,Saudi Arabia,King Khalid University,> 300
192,47141,19.6,15,57,43,31.7,29.5,75.6,43.2,59.9,46.6,44.5,Germany,Goethe University Frankfurt,100 to 200
56,39144,35.7,34,55,45,49.3,58.7,86.8,80.9,92.5,67.4,67.4,Australia,University of Queensland,0 to 100
370,34979,15.9,2,42,58,16.6,12.1,54.6,49.5,25.6,28.1,22.2,China,Fuzhou University,> 300
366,48839,14.1,10,38,62,31.3,22.8,28.2,38.1,38.0,28.5,28.3,Japan,Waseda University,> 300
332,33883,26.1,21,59,41,45.4,32.9,11.2,34.8,57.3,32.0,28.3,France,Panth�on-Sorbonne University � Paris 1,> 300
479,34158,13.4,1,50,50,23.3,9.7,14.2,39.6,20.4,16.7,10.7,Brazil,Federal University of Goi�s,> 300
