Score_Rank,Number_students,Numb_students_per_Staff,International_Students,Percentage_Female,Percentage_Male,Teaching,Research,Citations,Industry_Income,International_Outlook,Score_Result,Overall_Ranking,Country,University,Rank
200,11185,9.8,11,57,43,42.3,24.1,72.7,37.0,41.9,45.8,44.5,United States,Tulane University,100 to 200
472,14654,14.5,2,24,76,15.3,9.2,19.4,34.7,44.4,17.4,10.7,Pakistan,University of Engineering & Technology (UET) Lahore,> 300
246,6866,16.2,19,49,51,24.8,22.9,66.3,39.7,78.1,41.1,38.8,United Kingdom,Aberystwyth University,200 to 300
472,13970,28.5,14,48,52,15.1,17.0,13.3,45.3,35.2,17.4,10.7,Taiwan,I-Shou University,> 300
297,3041,2.3,7,68,32,35.8,12.1,57.5,38.1,43.5,35.8,35.3,United States,University of Nebraska Medical Center,200 to 300
468,15601,10.3,19,0,0,21.2,11.1,11.9,40.4,47.0,17.8,10.7,Russian Federation,Far Eastern Federal University,> 300
214,12785,16.3,6,63,37,27.1,30.8,73.5,37.3,52.6,44.3,42.4,Finland,University of Turku,200 to 300
273,16723,17.5,5,60,40,29.9,36.5,44.2,46.6,52.9,38.3,35.3,Israel,Bar-Ilan University,200 to 300
280,4226,10.2,29,22,78,29.4,21.1,48.9,60.9,81.8,37.5,35.3,France,CentraleSup�lec,200 to 300
428,9660,10.6,11,51,49,18.3,12.4,31.0,46.6,30.2,21.9,10.7,Russian Federation,Samara University,> 300
253,15933,23.5,8,55,45,30.1,22.7,66.9,37.7,47.8,40.4,38.8,Italy,University of Trieste,200 to 300
412,846,1.0,1,36,64,27.0,7.9,36.9,34.6,16.0,23.6,22.2,Japan,St Marianna University School of Medicine,> 300
448,6473,7.7,3,37,63,27.4,12.9,17.8,37.6,19.4,19.8,10.7,Japan,Gunma University,> 300
249,17287,14.9,2,49,51,14.7,10.5,95.3,34.4,50.4,40.8,38.8,Chile,Diego Portales University,200 to 300
468,5836,16.8,1,47,53,15.7,11.1,23.4,35.3,24.9,17.8,10.7,Turkey,TOBB University of Economics and Technology,> 300
116,14645,14.3,32,53,47,30.1,34.8,96.2,38.1,90.7,56.1,56.1,United Kingdom,University of Leicester,100 to 200
119,16927,16.7,6,62,38,39.2,33.6,97.3,74.8,37.4,55.7,55.7,United States,University of Alabama at Birmingham,100 to 200
367,20219,18.4,9,55,45,21.1,18.4,44.6,35.7,30.4,28.4,28.3,United States,Portland State University,> 300
224,5189,31.1,13,47,53,28.3,38.1,56.6,49.7,68.1,43.3,42.4,Belgium,Hasselt University,200 to 300
288,14221,21.7,17,48,52,20.1,23.5,54.6,39.2,83.7,36.7,35.3,Ireland,University of Limerick,200 to 300
462,8913,8.7,2,36,64,21.8,12.2,17.7,50.6,22.3,18.4,10.7,Japan,Yamagata University,> 300
411,6793,12.1,4,54,46,21.2,13.9,32.3,34.4,37.5,23.9,22.2,Portugal,University of Tr�s-os-Montes and Alto Douro,> 300
271,9004,15.0,19,56,44,20.3,22.4,64.1,35.5,73.8,38.5,35.3,United Kingdom,Keele University,200 to 300
263,10267,16.1,1,19,81,44.7,39.6,34.9,80.3,21.0,39.3,38.8,India,Indian Institute of Technology Bombay,200 to 300
250,11915,45.1,34,60,40,29.8,27.0,56.8,38.2,76.0,40.7,38.8,France,Sciences Po,200 to 300
184,20236,15.7,20,53,47,35.1,29.6,78.1,35.3,48.7,47.4,46.9,United States,Syracuse University,100 to 200
442,4749,10.6,6,27,73,22.6,11.1,23.3,37.9,32.4,20.5,10.7,Spain,Polytechnic University of Cartagena,> 300
171,2005,11.3,44,32,68,39.9,24.5,73.1,57.5,82.3,48.9,46.9,France,�cole des Ponts ParisTech,100 to 200
518,16787,41.9,8,56,44,13.7,12.2,7.1,41.5,25.1,12.8,10.7,Taiwan,Chaoyang University of Technology,> 300
149,7142,8.1,30,52,48,33.4,23.5,90.3,53.0,78.8,51.4,50.1,Austria,Medical University of Vienna,100 to 200
255,17194,17.7,20,56,44,35.9,26.9,48.1,59.2,72.6,40.2,38.8,Canada,University of Saskatchewan,200 to 300
151,14107,14.9,31,57,43,32.1,35.2,76.9,40.3,91.9,51.2,50.1,United Kingdom,University of Reading,100 to 200
227,23886,43.5,12,73,27,20.6,27.5,73.4,39.4,74.3,43.0,42.4,Australia,Australian Catholic University,200 to 300
362,7938,13.9,4,52,48,43.9,17.3,26.6,43.0,19.3,28.9,28.3,India,Jawaharlal Nehru University,> 300
525,9986,24.1,1,43,57,14.0,9.1,5.7,34.4,35.3,12.1,10.7,Pakistan,Government College University Lahore,> 300
203,25907,16.8,5,0,0,32.9,23.4,80.3,43.9,45.7,45.5,44.5,United States,The University of Tennessee-Knoxville,200 to 300
424,1335,11.8,0,26,74,28.1,10.8,28.5,35.4,17.2,22.4,22.2,India,Indian Institute of Science Education and Research Kolkata,> 300
441,5204,13.2,1,50,50,21.7,13.5,25.8,39.1,17.3,20.6,10.7,Japan,Toho University,> 300
494,5321,9.5,12,55,45,19.8,11.9,5.9,40.5,38.8,15.2,10.7,Czech Republic,Technical University of Liberec,> 300
192,10887,32.3,18,59,41,31.8,32.4,64.7,54.1,87.3,46.6,44.5,Switzerland,University of Fribourg,100 to 200
314,18336,12.9,4,58,42,19.3,11.5,67.8,35.2,46.9,34.0,28.3,Spain,University of La Laguna,> 300
476,5693,9.2,1,37,63,19.4,9.2,20.4,37.5,17.9,17.0,10.7,Japan,Oita University,> 300
342,14542,35.1,3,61,39,31.2,15.6,46.8,39.0,25.3,31.0,28.3,United States,University of South Dakota,> 300
8,12402,5.4,20,50,50,92.0,94.8,97.3,52.4,68.7,91.7,91.7,United States,Yale University,0 to 100
227,3045,11.5,23,60,40,24.0,22.7,79.3,34.4,57.5,43.0,42.4,United States,Clark University,200 to 300
303,13140,29.0,23,51,49,33.7,26.6,33.5,36.8,79.9,35.1,28.3,Canada,University of Windsor,> 300
143,16137,12.0,5,56,44,48.2,45.1,62.3,41.4,60.3,52.2,50.1,Israel,Hebrew University of Jerusalem,100 to 200
182,18166,40.8,17,30,70,42.4,44.2,50.4,89.5,57.2,47.6,46.9,Germany,Technical University of Darmstadt,100 to 200
156,18642,31.5,29,52,48,29.9,35.0,75.5,55.7,93.4,50.5,50.1,Australia,University of Wollongong,100 to 200
429,8242,23.3,0,16,84,15.8,13.1,37.5,35.3,13.5,21.8,10.7,India,Delhi Technological University,> 300
80,25438,16.7,15,57,43,41.6,56.4,85.0,74.6,68.1,61.9,61.9,Sweden,Uppsala University,0 to 100
382,18403,21.4,2,51,49,22.1,19.0,38.0,66.9,19.6,26.9,22.2,Iran,Shahid Beheshti University,> 300
453,20646,12.6,1,34,66,16.4,9.3,31.7,36.9,16.0,19.3,10.7,Poland,Silesian University of Technology,> 300
341,24982,22.7,5,57,43,28.7,22.6,41.3,35.1,32.2,31.1,28.3,United States,"University of Nevada, Las Vegas",> 300
405,18511,17.1,6,47,53,13.5,8.7,48.5,34.6,32.8,24.5,22.2,Portugal,Polytechnic Institute of Porto,> 300
377,5936,13.7,5,55,45,27.0,25.1,20.2,35.5,64.1,27.4,22.2,Egypt,American University in Cairo,> 300
121,27185,19.5,14,0,0,30.0,46.4,85.0,36.6,81.3,55.4,55.4,Sweden,Stockholm University,100 to 200
38,20800,16.1,18,54,46,67.1,60.3,96.2,54.6,67.5,73.5,73.5,Germany,Heidelberg University,0 to 100
366,10653,9.7,3,40,60,29.4,8.7,47.6,35.2,24.9,28.5,28.3,India,Jamia Millia Islamia,> 300
292,9260,19.8,2,26,74,28.9,36.7,41.0,99.8,23.7,36.3,35.3,Iran,Sharif University of Technology,200 to 300
422,24440,35.4,0,44,56,17.5,16.5,28.6,41.9,36.6,22.6,22.2,Pakistan,"University of Agriculture, Faisalabad",> 300
204,1142,16.2,76,45,55,40.6,33.2,50.7,55.1,88.7,45.4,44.5,Germany,Jacobs University,200 to 300
253,17432,24.8,6,54,46,32.1,19.7,69.3,43.5,39.2,40.4,38.8,Italy,University of Modena and Reggio Emilia,200 to 300
514,6505,17.4,1,17,83,17.2,9.8,8.8,42.0,18.7,13.2,10.7,Japan,Kogakuin University,> 300
465,18077,7.9,7,53,47,25.6,11.6,12.4,43.7,28.6,18.1,10.7,Russian Federation,Lobachevsky State University of Nizhni Novgorod,> 300
377,13764,9.8,5,38,62,28.7,19.1,32.8,51.4,25.9,27.4,22.2,Japan,Chiba University,> 300
405,19196,23.5,6,39,61,23.8,20.7,23.8,64.0,32.1,24.5,22.2,South Korea,Inha University,> 300
475,8402,14.4,2,59,41,16.1,10.5,15.6,34.6,47.8,17.1,10.7,Chile,"University of the Andes, Chile",> 300
506,21401,10.0,0,55,45,19.2,9.7,10.9,38.3,14.7,14.0,10.7,China,University of South China,> 300
336,24547,23.0,1,47,53,37.6,17.8,42.8,34.5,17.3,31.6,28.3,India,University of Delhi,> 300
345,17180,10.1,15,61,39,34.2,19.6,32.3,37.1,52.9,30.7,28.3,Malaysia,Universiti Kebangsaan Malaysia,> 300
382,10305,11.7,1,50,50,22.0,14.2,39.5,44.1,41.8,26.9,22.2,China,Shantou University,> 300
390,18824,16.5,18,58,42,15.7,12.7,39.7,34.8,64.6,26.1,22.2,United Kingdom,University of Central Lancashire,> 300
484,14998,23.5,0,58,42,17.8,13.7,15.1,41.6,15.1,16.2,10.7,Iran,Shahid Bahonar University of Kerman,> 300
356,20043,22.5,2,0,0,15.7,12.3,56.8,40.1,41.3,29.5,28.3,Croatia,University of Split,> 300
394,10838,9.4,10,35,65,25.0,22.6,22.1,65.6,40.8,25.6,22.2,Taiwan,National Central University,> 300
205,2425,2.0,1,74,26,37.2,12.9,92.1,41.3,19.7,45.2,44.5,United States,Rush University,200 to 300
441,4659,6.3,4,31,69,24.0,10.7,25.6,36.8,21.6,20.6,10.7,Japan,University of Yamanashi,> 300
311,20663,13.7,13,37,63,32.8,41.1,22.9,99.8,36.3,34.3,28.3,Taiwan,National Cheng Kung University (NCKU),> 300
154,5716,11.2,15,24,76,53.3,45.6,47.2,99.9,58.7,50.7,50.1,Russian Federation,Moscow Institute of Physics and Technology,100 to 200
293,19268,42.3,12,50,50,21.3,25.3,57.1,40.2,54.4,36.2,35.3,Germany,University of Siegen,200 to 300
470,26685,15.3,1,57,43,21.4,13.3,16.3,34.4,18.7,17.6,10.7,Brazil,Londrina State University,> 300
432,12185,15.5,5,68,32,14.8,10.2,33.1,34.4,42.4,21.5,10.7,United Kingdom,Edge Hill University,> 300
451,9133,12.0,3,40,60,21.1,13.0,20.3,44.4,27.3,19.5,10.7,Japan,University of Toyama,> 300
86,9481,10.2,8,20,80,62.6,66.4,58.1,99.9,35.5,61.3,61.3,South Korea,Korea Advanced Institute of Science and Technology (KAIST),0 to 100
496,15704,26.8,10,54,46,15.0,12.6,10.6,37.7,34.6,15.0,10.7,Taiwan,Tunghai University,> 300
368,4850,7.3,2,39,61,21.5,10.1,54.5,36.5,21.0,28.3,28.3,Japan,Kurume University,> 300
163,20268,30.5,25,58,42,31.5,39.4,65.8,82.5,89.3,49.8,46.9,Australia,University of South Australia,100 to 200
53,26723,13.5,18,56,44,48.0,63.4,91.2,45.3,82.0,68.1,68.1,Netherlands,University of Amsterdam,0 to 100
317,21857,15.5,3,0,0,16.7,14.9,69.9,38.9,29.5,33.6,28.3,China,Nanjing University of Information Science and Technology,> 300
223,24798,16.0,11,46,54,30.9,30.1,67.2,37.7,52.9,43.4,42.4,United States,Oregon State University,200 to 300
133,9213,12.7,46,58,42,42.2,41.8,67.8,37.6,96.6,53.7,53.8,United Kingdom,University of St Andrews,100 to 200
339,18878,18.2,3,55,45,22.7,19.2,51.9,34.4,30.4,31.3,28.3,United States,Old Dominion University,> 300
301,18653,16.2,31,62,38,22.9,18.9,49.1,41.5,92.8,35.3,35.3,New Zealand,Massey University,> 300
364,25956,17.4,2,54,46,21.8,15.1,49.7,43.1,22.5,28.7,28.3,China,Huazhong Agricultural University,> 300
463,19038,9.1,9,55,45,20.4,10.0,20.4,41.9,27.1,18.3,10.7,Russian Federation,Southern Federal University,> 300
212,1119,7.6,0,13,87,28.1,12.8,100.0,36.2,18.0,44.5,44.5,India,Indian Institute of Technology Ropar,200 to 300
495,5516,13.8,3,37,63,19.5,9.8,12.0,42.1,22.4,15.1,10.7,Japan,Iwate University,> 300
155,11371,28.4,22,54,46,37.4,42.3,62.7,87.0,75.4,50.6,50.1,Belgium,Vrije Universiteit Brussel,100 to 200
455,23098,14.1,2,49,51,29.2,8.6,18.7,35.3,16.8,19.1,10.7,India,Annamalai University,> 300
331,8330,28.6,7,55,45,12.3,8.5,78.0,34.7,20.7,32.1,28.3,Iran,Imam Khomeini International University,> 300
449,24763,8.5,4,77,23,21.1,8.0,15.3,34.8,73.2,19.7,10.7,Saudi Arabia,Imam Abdulrahman Bin Faisal University,> 300
345,21436,17.0,7,47,53,25.0,21.2,43.0,40.1,39.2,30.7,28.3,United States,Clemson University,> 300
495,26034,19.8,3,53,47,16.4,8.7,13.5,34.6,35.7,15.1,10.7,Mexico,University of Guanajuato,> 300
230,20087,15.7,21,0,0,39.1,40.0,40.1,92.3,62.3,42.7,42.4,South Korea,Hanyang University,200 to 300
326,14483,20.7,24,55,45,22.8,20.0,44.8,36.6,72.0,32.6,28.3,United Kingdom,University of Huddersfield,> 300
491,10110,22.5,1,100,0,18.1,9.9,16.8,36.8,15.2,15.5,10.7,Iran,Alzahra University,> 300
209,22892,7.4,11,32,68,51.5,49.0,34.6,63.0,36.0,44.8,44.5,Japan,Osaka University,200 to 300
124,9265,6.6,25,30,70,39.4,40.2,73.8,71.6,92.8,54.8,54.8,Denmark,Technical University of Denmark,100 to 200
496,15248,11.7,9,28,72,24.1,11.7,3.0,64.6,23.5,15.0,10.7,Russian Federation,Moscow Aviation Institute,> 300
487,6096,7.5,2,36,64,21.6,10.8,12.4,37.3,19.9,15.9,10.7,Japan,Tottori University,> 300
364,16401,17.4,46,60,40,18.2,16.2,36.7,34.8,86.7,28.7,28.3,United Kingdom,University of Westminster,> 300
476,8222,10.9,2,38,62,19.2,11.8,15.1,45.2,26.7,17.0,10.7,Japan,University of the Ryukyus,> 300
113,24082,36.6,10,56,44,38.7,42.4,87.5,65.6,61.5,56.8,56.8,Germany,University of W�rzburg,100 to 200
424,9862,16.8,6,47,53,14.7,8.8,39.2,37.0,35.3,22.4,22.2,Turkey,At?l?m University,> 300
431,20851,24.5,0,46,54,14.5,9.9,35.1,34.7,38.7,21.6,10.7,Colombia,Industrial University of Santander (UIS),> 300
462,7194,7.6,4,36,64,23.5,11.8,16.9,38.5,23.1,18.4,10.7,Japan,Gifu University,> 300
495,19745,17.9,1,36,64,15.2,9.9,16.9,35.2,21.5,15.1,10.7,Romania,Technical University of Cluj-Napoca,> 300
243,17482,10.8,1,61,39,16.5,7.6,100.0,35.4,43.3,41.4,38.8,Sri Lanka,University of Peradeniya,200 to 300
362,12935,23.4,22,59,41,16.8,15.6,45.1,35.8,63.0,28.9,28.3,Canada,University of Regina,> 300
491,14011,28.1,23,54,46,18.9,13.3,5.5,35.1,43.5,15.5,10.7,Czech Republic,"University of Economics, Prague",> 300
349,12154,17.1,5,49,51,16.5,12.0,62.4,35.7,28.0,30.3,28.3,Malaysia,Universiti Malaysia Perlis,> 300
456,21390,13.1,2,41,59,16.9,11.5,25.9,59.5,15.9,19.0,10.7,India,KIIT University,> 300
448,9980,25.1,0,54,46,17.0,12.3,28.5,43.8,18.7,19.8,10.7,Iran,University of Zanjan,> 300
319,13906,19.0,14,58,42,18.9,18.2,57.6,37.4,53.9,33.4,28.3,Spain,University of Girona,> 300
308,12405,25.8,15,57,43,19.3,19.8,54.9,37.4,72.6,34.6,28.3,Australia,University of Southern Queensland,> 300
403,19975,18.1,23,62,38,16.0,10.3,37.4,34.6,62.8,24.7,22.2,United Kingdom,Birmingham City University,> 300
93,23863,13.7,34,53,47,40.2,44.3,88.0,40.1,94.2,59.8,59.8,United Kingdom,University of Southampton,0 to 100
291,3851,28.2,19,31,69,28.3,30.1,43.1,53.8,61.5,36.4,35.3,Finland,Lappeenranta-Lahti University of Technology LUT,200 to 300
316,19022,57.0,7,61,39,19.5,21.0,59.3,40.9,36.6,33.7,28.3,Italy,University of Bergamo,> 300
342,26105,16.7,9,65,35,21.4,17.7,48.2,35.1,52.6,31.0,28.3,Hungary,E�tv�s Lor�nd University,> 300
502,22322,29.6,1,61,39,13.5,8.0,13.9,34.8,38.2,14.4,10.7,Sri Lanka,University of Colombo,> 300
513,12955,24.7,1,42,58,13.2,8.4,7.9,37.3,46.6,13.3,10.7,Chile,University of B�o-B�o,> 300
225,5744,29.6,0,32,68,15.3,21.2,99.8,42.2,17.1,43.2,42.4,Iran,Babol Noshirvani University of Technology,200 to 300
384,20135,14.8,5,50,50,18.4,12.8,45.5,40.0,36.4,26.7,22.2,South Korea,Yeungnam University,> 300
173,15196,14.7,23,54,46,27.7,29.6,79.5,44.4,85.4,48.6,46.9,Canada,Dalhousie University,100 to 200
